probe_id,target_registry_primitive,access_ok,output_ok,promises_ok,target_ok,boundary_ok,public_label_ok,overall_ok,issues
AW-000005-RV1-MVW0001,quantum_walk_marked_vertex_search,True,True,True,True,True,True,True,
AW-000005-RV1-MIN0001,quantum_minimum_finding,True,True,True,True,True,True,True,
AW-000006-RV1-CNT0001,quantum_counting,True,True,True,True,True,True,True,
AW-000007-RV1-CNT0002,quantum_counting,True,True,True,True,True,True,True,
AW-000008-RV1-CNT0003,quantum_counting,True,True,True,True,True,True,True,
AW-000011-RV1-CNT0004,quantum_counting,True,True,True,True,True,True,True,
AW-000012-RV1-MVW0002,quantum_walk_marked_vertex_search,True,True,True,True,True,True,True,
AW-000012-RV1-CNT0005,quantum_counting,True,True,True,True,True,True,True,
AW-000020-RV1-CNT0006,quantum_counting,True,True,True,True,True,True,True,
AW-000022-RV1-CNT0007,quantum_counting,True,True,True,True,True,True,True,
AW-000078-RV1-BTS0001,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000098-RV1-MIN0002,quantum_minimum_finding,True,True,True,True,True,True,True,
AW-000101-RV1-MVW0003,quantum_walk_marked_vertex_search,True,True,True,True,True,True,True,
AW-000101-RV1-CNT0008,quantum_counting,True,True,True,True,True,True,True,
AW-000424-RV1-BTS0002,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000425-RV1-BTS0003,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000429-RV1-BTS0004,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000436-RV1-BTS0005,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000458-RV1-CNT0009,quantum_counting,True,True,True,True,True,True,True,
AW-000460-RV1-CNT0010,quantum_counting,True,True,True,True,True,True,True,
AW-000476-RV1-MIN0003,quantum_minimum_finding,True,True,True,True,True,True,True,
AW-000550-RV1-CNT0011,quantum_counting,True,True,True,True,True,True,True,
AW-000551-RV1-CNT0012,quantum_counting,True,True,True,True,True,True,True,
AW-000705-RV1-BTS0006,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000705-RV1-MVW0004,quantum_walk_marked_vertex_search,True,True,True,True,True,True,True,
AW-000706-RV1-BTS0007,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
AW-000773-RV1-MIN0004,quantum_minimum_finding,True,True,True,True,True,True,True,
AW-000788-RV1-BTS0008,quantum_backtracking_tree_search,True,True,True,True,True,True,True,
