algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,domain,input_model,access_model,output_contract,time_complexity,space_complexity,confidence_score,source_count,source_quality,card_digest,second_pass_rule
AW-000010,Eppstein,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000010.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000010.context.evidence.yaml,dynamic_programming,explicit_combinatorial_problem,offline_batch_queries,yes_no_decision,\tilde{O}(n \max(S)),O(t\log t),75,3,HIGH,d9d99757ef84c2b1,subset_sum
AW-000013,Lokshtanov,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000013.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000013.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000013.context.evidence.yaml,dynamic_programming,explicit_combinatorial_problem,offline_batch_queries,yes_no_decision,\tilde{O}(n^3 t),O(n^2),85,4,HIGH,5c1fecce7e2ae9bc,subset_sum
AW-000034,Brute Force,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000034.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000034.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000034.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,random_access_string,full_solution,O(4^n),O(n),80,2,HIGH,1d84c71173505749,matrix_chain_ordering
AW-000057,Bjorck-Pereyra,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000057.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000057.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000057.context.evidence.yaml,matrix_linear_algebra,explicit_matrix_problem,dense_matrix_access,full_classical_output,O(n^2),O(n^2),80,3,HIGH,e44194207b3f4867,vandermonde_linear_system
AW-000063,Naive Implementation,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000063.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000063.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000063.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,one_witness,O(kn^2),O(1),80,2,HIGH,3048a9229071f5cd,point_set_geometry
AW-000081,Rabin-Karp (RK) algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000081.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000081.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000081.context.evidence.yaml,string,explicit_string_problem,random_access_string,one_witness,O(mn),O(1),80,2,HIGH,34dc401b9559daaa,string_matching
AW-000088,Rabin–Scott powerset construction,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000088.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000088.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000088.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,explicit_input_instance,full_solution,O(2^n),O(1),85,3,HIGH,d4dbf32ab64dd74d,automata_subset_construction
AW-000089,Karatsuba Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000089.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000089.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000089.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,random_access_string,full_solution,O(n^{1.58}),O(n),80,3,HIGH,08bd2af3e484b780,integer_multiplication
AW-000090,Toom-3,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000090.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000090.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000090.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,random_access_string,full_solution,O(n^{1.46}),O(n),80,2,HIGH,7da438fa1ff54444,integer_multiplication
AW-000091,Long Multiplication,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000091.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000091.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000091.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,random_access_string,full_solution,O(n^2),O(n),80,2,HIGH,bd25c8a3712279bc,integer_multiplication
AW-000102,Brute Force,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000102.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000102.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000102.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(n^3),O(1),80,2,HIGH,14edaa797b69b456,rendering_shading
AW-000103,Grenander,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000103.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000103.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000103.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,random_access_array,full_solution,O(n^2),O(n),80,2,HIGH,82eab62471887f1a,maximum_subarray
AW-000104,Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]),corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000104.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000104.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000104.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,random_access_array,full_solution,O(n^2),O(1),90,3,HIGH,deb21d45f30dac60,maximum_subarray
AW-000105,Shamos,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000105.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000105.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000105.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(n \log n),O(\log n),80,2,HIGH,24cb77f66cd23ffe,rendering_shading
AW-000106,Kadane's Algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000106.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000106.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000106.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,random_access_array,full_solution,O(n),O(1),80,2,HIGH,6f982eafba43b0c5,maximum_subarray
AW-000113,Brute Force,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000113.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000113.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000113.context.evidence.yaml,dynamic_programming,explicit_dynamic_programming_problem,offline_batch_queries,full_solution,O(n 2^n),O(n),80,2,HIGH,4061d661fe879fe8,rod_cutting
