Name;Year;Time Complexity;Space Complexity;Computational Model;Randomized;Randomized Type;Approximate;Approximation Factor;Parameter Definitions;Span Depth;Work;Number Of Processors;Link
Melhorn's Approximation algorithm;1975;$O(n)$;$O(n)$;;0;;1;$0.63 H \leq P_{opt} \leq P_{balanced} \leq 2 + 1.44 H$;$H$: entropy of the distribution $P_{opt}$: $P_{balanced}$:  $n$: number of elements;;;;https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf
Karpinski;1996;$O(n^{0.6})$;$O(1)$;;0;;1;$\epsilon = o(1)$;$n$: number of elements;;;$n$;https://citeseerx.ist.psu.edu/pdf/4af91d48d513fbcf64e277c07c17615c31726ec6
"Klawe; Mumey";1993;$O(n)$;$O(n)$;;0;;0;;$n$: number of elements;;;;https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec
Larmore;1987;$O(n^{1.6})$;$O(n)$;;0;;1;$\epsilon = o(1)$;$n$: number of elements;;;;https://www.sciencedirect.com/science/article/pii/0196677487900526
Hierarchical Navigable Small World (HNSW);2018;$O(n \log n)$;$O(M)$;;0;;1;experimental results;$n$: number of elements $M$: heuristic choice -- number of closest neighbors for a part of the algo;;;;https://doi.org/10.1109/TPAMI.2018.2889473
Pisinger;2003;$O(nt/\log t)$;$O(t/\log t)$;Word RAM;0;;0;;$n$: number of elements in the set $t$: target sum;;;;https://link.springer.com/article/10.1007/s00453-002-0989-y
Faaland;1973;$O(n' t)$;$O(t)$;;0;;0;;$n'$: number of distinct elements in the set $t$: target sum;;;;https://doi.org/10.1287/opre.21.1.332
Pferschy;1999;$O(n' t)$;$O(t)$;;0;;0;;$n'$: number of distinct elements in the set $t$: target sum;;;;https://link.springer.com/article/10.1007/s006070050042
Klinz;1999;$O(\sigma^{3/2})$;$O(t)$;;0;;0;;$\sigma$: sum of integers in the set ($\sigma \geq t$);;;;"https://doi.org/10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2"
Eppstein;1997;$\tilde{O}(n \max(S))$;$O(t\log t)$;;0;;0;;$n$: number of elements in the set $S$: the set $t$: target sum;;;;https://www.sciencedirect.com/science/article/abs/pii/S019667749690841X?via%3Dihub
Serang;2014;$\tilde{O}(n \max(S))$;$O(t\log t)$;;0;;0;;$n$: number of elements in the set $S$: the set $t$: target sum;;;;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507
Serang;2015;$\tilde{O}(n \max(S))$;$O(t\log t)$;;0;;0;;$n$: number of elements in the set $S$: the set $t$: target sum;;;;https://www.liebertpub.com/doi/10.1089/cmb.2015.0013
Lokshtanov;2010;$\tilde{O}(n^3 t)$;$O(n^2)$;;0;;0;;$n$: number of elements in the set $t$: target sum;;;;https://dl.acm.org/doi/abs/10.1145/1806689.1806735
Valentin Polishchuk, and Jukka Suomela;2008;$O(\Delta^2/\epsilon)$;$O(\Delta^2/\epsilon)$;Word RAM;0;;1;$\epsilon$;$n$: number of people in set $\Delta$: maximum degree of vertex in graph $\epsilon$: stability parameter;;;;https://arxiv.org/pdf/0812.4893.pdf
Lawrence, Reilly;1990;$O(nm)$;$O(nm)$;Word RAM;0;;1;;$n$: number of sequences $m$: length of sequences;;;;https://www.ncbi.nlm.nih.gov/pubmed/2184437
Lawrence Gibbs Sampling;1993;$O(nm)$;$O(n + m)$;Word RAM;0;;1;;$n$: number of sequences $m$: length of sequences;;;;https://science.sciencemag.org/content/262/5131/208
MotifSampler;2001;$O(nm)$;$O(n + m)$;Word RAM;0;;1;;$n$: number of sequences $m$: length of sequences;;;;https://www.ncbi.nlm.nih.gov/pubmed/12015892
tree-structured vector quantization Wei-Levoy;2000;$O(n^2 \log n)$;$O(nd)$;TSVQ Tree;0;;1;;$n$: number of pixels in input image $d$: neighborhood size;;;;https://dl.acm.org/doi/abs/10.1145/344779.345009
"Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf";2017;$O(N)$;$O(N)$;;0;;1;;$N$: number of pixels in output image;;;;https://arxiv.org/abs/1705.06566
Grigoryan;2018;$O(n)$;$O(n)$;;1;Monte Carlo;1;error < 0.0001 and decreases with increasing $n$;$n$: dimension of board $k$: number of queens;;;;https://arxiv.org/abs/1912.05935
"Sedgewick; Szymanski; and Yao";1982;$(\mu + \lambda)(1+\Theta(1/\sqrt{M}))$;$M$;;0;;0;;$\mu$: first index of element in cycle $\lambda$: period $M$: number of memory cells available;;;;https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat
Nivasch;2004;$O(\mu + \lambda)$;$O(\log\mu)$;not mentioned;0;;0;;$\mu$: index of first element in cycle $\lambda$: cycle length;;;;https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view
Insertion Sort;1940;$O(n^2)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;;-
Selection Sort;1962;$O(n^2)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;;-
Merge Sort;1945;$O(n \log n)$;$O(n)$;Word RAM;0;;0;;$n$: size of list;;;;-
Bubble Sort;1956;$O(n^2)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;;-
Intro Sort;1997;$O(n \log n)$;$O(\log n)$;Word RAM;0;;0;;$n$: size of list;;;;https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23
Heap Sort;1964;$O(n \log n)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;0;https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern
Counting Sort;1954;$O(n+k)$;$O(n+k)$;Word RAM;0;;0;;$n$: size of list $k$: range of non-negative key values;;;;http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf
Bucket Sort;1940;$O(n^2)$;$O(n)$;Word RAM;0;;0;;$n$: size of list;;;;-
Radix Sort;1940;$O(wn)$;$O(w+n)$;Word RAM;0;;0;;$n$: size of list $w$: length of word;;;;-
Naive Selection;1940;$O(n \log n)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;;-
Hoare's Selection Algorithm (QuickSelect);1961;$O(n^2)$;$O(1)$;Word RAM;0;;0;;$n$: size of list;;;;https://dl.acm.org/citation.cfm?doid=366622.366647
Brute Force;1940;$O(4^n)$;$O(n)$;Word RAM;0;;0;;$n$: number of matrices;;;;-
