shard_id,dataset,subset,kind,priority,reasoning_effort,expected_claim_boundary,task_count,ready_count,start_index,end_index,output_dir,manifest_path,notes
fdv1_registry_v1_probes_001,algorithm_wiki,registry_v1_probes,registry_v1_probe,highest,high,query_or_subroutine_hypothesis,28,28,1,28,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_001,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,1,50,runs/final_discovery_run_v1/fdv1_public_probe_v1_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_002,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,51,100,runs/final_discovery_run_v1/fdv1_public_probe_v1_002,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_003,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,101,150,runs/final_discovery_run_v1/fdv1_public_probe_v1_003,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_004,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,151,200,runs/final_discovery_run_v1/fdv1_public_probe_v1_004,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_005,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,201,250,runs/final_discovery_run_v1/fdv1_public_probe_v1_005,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_006,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,251,300,runs/final_discovery_run_v1/fdv1_public_probe_v1_006,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_007,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,301,350,runs/final_discovery_run_v1/fdv1_public_probe_v1_007,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_008,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,351,400,runs/final_discovery_run_v1/fdv1_public_probe_v1_008,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_009,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,401,450,runs/final_discovery_run_v1/fdv1_public_probe_v1_009,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_010,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,451,500,runs/final_discovery_run_v1/fdv1_public_probe_v1_010,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_011,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,501,550,runs/final_discovery_run_v1/fdv1_public_probe_v1_011,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_probe_v1_012,algorithm_wiki,public_probe_v1,probe,high,high,query_or_subroutine_hypothesis,50,50,551,600,runs/final_discovery_run_v1/fdv1_public_probe_v1_012,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_001,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,1,100,runs/final_discovery_run_v1/fdv1_public_context_v1_001,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_002,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,101,200,runs/final_discovery_run_v1/fdv1_public_context_v1_002,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_003,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,201,300,runs/final_discovery_run_v1/fdv1_public_context_v1_003,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_004,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,301,400,runs/final_discovery_run_v1/fdv1_public_context_v1_004,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_005,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,401,500,runs/final_discovery_run_v1/fdv1_public_context_v1_005,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_006,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,501,600,runs/final_discovery_run_v1/fdv1_public_context_v1_006,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_007,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,601,700,runs/final_discovery_run_v1/fdv1_public_context_v1_007,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_008,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,701,800,runs/final_discovery_run_v1/fdv1_public_context_v1_008,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_009,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,801,900,runs/final_discovery_run_v1/fdv1_public_context_v1_009,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_010,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,901,1000,runs/final_discovery_run_v1/fdv1_public_context_v1_010,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
fdv1_public_context_v1_011,algorithm_wiki,public_context_v1,context,medium-high,medium,whole_algorithm_discovery,100,100,1001,1100,runs/final_discovery_run_v1/fdv1_public_context_v1_011,experiments/final_discovery_run_v1/manifests/master_run_manifest.csv,Use commands/run_shard.bat with this SHARD_ID.
